name,image,calories,protein,carbs,fats,summary,key,Freezer Meals,Pressure Cooker Recipes,Keto Recipes,Vegetarian Meals,Low Carb,Meal Prep Recipes,Gluten Free,Paleo,Slow Cooker Recipes,Air Fryer,Under 30 Minutes,Whole 30 Recipes,Dairy Free,Kid Friendly,kitchen,link,W
Chicken Piccata,https://www.skinnytaste.com/wp-content/uploads/2010/05/Chicken-Piccata-8-260x390.jpg,262.0,30.0,11.5,9.5,Chicken Piccata is an Italian chicken dish made with pounded chicken breast in a lemon-wine butter sauce with capers and parsley. Chicken Piccata If you’re looking for more ways...,"Air Fryer,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,1,1,0,0,1,italian,http://www.skinnytaste.com/chicken-piccata/,0
Colombian Chicken Sancocho (Sancocho de Pollo),https://www.skinnytaste.com/wp-content/uploads/2008/11/chicken-sancocho-10-260x390.jpg,405.0,34.0,41.0,8.0,"Sancocho de Pollo, a hearty soup almost like a stew, is a traditional dish in the Antioquia region of Colombia that combines potatoes, yuca, corn, plantains, and chicken. Colombian...","Dairy Free,Freezer Meals,Gluten Free,Kid Friendly",1,0,0,0,0,0,1,0,0,0,0,0,1,1,american,http://www.skinnytaste.com/colombian-chicken-sancocho-sancocho-de/,0
Mushroom-Spinach Scrambled Eggs,https://www.skinnytaste.com/wp-content/uploads/2022/01/Mushroom-Spinach-Scrambled-Eggs-6-260x390.jpg,271.0,21.5,10.0,17.0,"Mushroom-Spinach Scrambled Eggs is one of my go-to quick and easy vegetarian, high-protein breakfast recipes. Mushroom-Spinach Scrambled Eggs This quick breakfast scramble for one is high in protein and...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Under 30 Minutes,Vegetarian Meals,Whole 30 Recipes",0,0,1,1,1,0,1,0,0,0,1,1,1,1,american,http://www.skinnytaste.com/mushroom-spinach-scrambled-eggs/,0
Baked Chicken Breasts,https://www.skinnytaste.com/wp-content/uploads/2022/01/Baked-Chicken-Breast-with-Panko-Parmesan-Crumb-Topping-5-260x390.jpg,271.0,40.0,5.0,9.0,"A perfect, juicy Baked Chicken Breast recipe topped with crispy panko-parmesan crumbs are flavorful and delicious! Baked Chicken Breasts The secret to making these Baked Chicken Breasts super juicy...","Gluten Free,Kid Friendly",0,0,0,0,0,0,1,0,0,0,0,0,0,1,american,http://www.skinnytaste.com/baked-chicken-breasts-with-rosemary/,0
Tuna Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2021/11/Tuna-Egg-Salad-2-260x390.jpg,316.0,30.0,4.0,20.0,Tuna Egg Salad is my go-to high-protein lunch when I need something quick – it takes about 15 minutes to make and can be meal prepped ahead. Tuna Egg...,"Dairy Free,Gluten Free,Keto Recipes,Low Carb,Meal Prep Recipes,Under 30 Minutes,Whole 30 Recipes",0,0,1,0,1,1,1,0,0,0,1,1,1,0,mediterranean,http://www.skinnytaste.com/tuna-egg-salad-lettuce-cups/,0
Spaghetti Squash Crust Pizza,https://www.skinnytaste.com/wp-content/uploads/2022/01/Spaghetti-Squash-Pizza-Crust-9-260x390.jpg,303.0,28.0,18.0,17.0,This low-carb Spaghetti Squash Crust Pizza is the only way I can get my husband to eat spaghetti squash – it’s that delicious! Spaghetti Squash Crust Pizza This Spaghetti...,"Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Vegetarian Meals",0,0,1,1,1,0,1,0,0,0,0,0,0,1,italian,http://www.skinnytaste.com/spaghetti-squash-crust-pizza/,0
Healthy 3-Ingredient Banana Oatmeal Cookies,https://www.skinnytaste.com/wp-content/uploads/2013/02/Healthy-Cookies-9-260x390.jpg,93.0,2.0,15.0,3.5,"These Healthy 3-Ingredient Banana Oatmeal Cookies are so easy, perfect for using up those rip bananas sitting on your counter!! 3-Ingredient Banana Oatmeal Cookies Let’s not mistake these healthy...","Dairy Free,Gluten Free,Kid Friendly,Under 30 Minutes,Vegetarian Meals",0,0,0,1,0,0,1,0,0,0,1,0,1,1,dessert,http://www.skinnytaste.com/3-ingredient-banana-oatmeal-cookies/,0
"Black-Eyed Peas with Leftover Ham, Collard Greens and Cabbage",https://www.skinnytaste.com/wp-content/uploads/2021/12/Black-Eyed-Peas-with-Leftover-Ham-Bone-Collard-Greens-and-Cabbage-7-260x390.jpg,320.0,19.0,50.0,6.0,"Black-Eyed Peas with Leftover Ham, Collard Greens & Cabbage is a great stew to ring in the new year!! Black-Eyed Peas with Ham This easy black-eye pea recipe that...",Dairy Free,0,0,0,0,0,0,0,0,0,0,0,0,1,0,american,http://www.skinnytaste.com/black-eyed-peas-with-leftover-ham-collard-greens-and-cabbage/,0
Sausage and Broccoli Rabe Egg Rolls (Air Fryer or Oven),https://www.skinnytaste.com/wp-content/uploads/2021/12/Sausage-and-Broccoli-Rabe-Egg-Rolls-1-4-260x390.jpg,136.0,10.0,15.0,3.5,These Italian inspired Chicken Sausage and Broccoli Rabe Egg Rolls make a delicious appetizer for the holidays! Sausage and Broccoli Rabe Egg Rolls We love a traditional egg roll...,"Air Fryer,Kid Friendly,Under 30 Minutes",0,0,0,0,0,0,0,0,0,1,1,0,0,1,italian,http://www.skinnytaste.com/sausage-and-broccoli-rabe-egg-rolls/,0
Chilled Calamari Salad with Lemon and Parsley,https://www.skinnytaste.com/wp-content/uploads/2011/06/Chilled-Calamari-Salad-5-260x390.jpg,122.0,18.0,8.0,2.0,"A light refreshing calamari salad made with squid, fresh lemon, celery, red onion, roasted peppers, garlic and parsley. Calamari Salad with Lemon and Parsley This chilled calamari salad is...","Dairy Free,Gluten Free,Keto Recipes,Kid Friendly,Low Carb,Whole 30 Recipes",0,0,1,0,1,0,1,0,0,0,0,1,1,1,mediterranean,http://www.skinnytaste.com/chilled-calamari-salad-with-lemon-and-parsley/,0
